z,F_mean,F_std,F_count,CI_lower,CI_upper
9.97,75438.89382146251,5647.833711429467,4,66451.93005756321,84425.85758536181
10.22,61199.66933041875,4276.7634904963825,8,57624.20557550166,64775.13308533584
10.47,50194.89099129375,3232.353090367639,8,47492.57618165195,52897.20580093555
10.72,42013.19397908125,2104.8168222344207,8,40253.523079495106,43772.86487866739
10.97,36697.9314266375,1288.8068452358573,8,35620.461940080735,37775.400913194266
11.22,33987.64874289375,1688.6712210405817,8,32575.88427234983,35399.41321343766
11.47,31075.053889374998,1691.1432178286968,8,29661.222777798015,32488.88500095198
11.72,27819.6914685625,1582.8379152323926,8,26496.405855879464,29142.97708124554
11.97,24866.7469274875,1423.93276862722,8,23676.309341921027,26057.184513053973
12.22,22266.1490146625,1277.5634697802525,8,21198.079225216363,23334.218804108637
12.47,19980.714342812502,1145.8133893164836,8,19022.79037706047,20938.638308564532
12.72,17977.39060389375,1012.6659021860877,8,17130.780723045154,18824.000484742344
12.97,16228.987245992499,906.3055728908516,8,15471.296825666146,16986.677666318854
13.22,14696.185004205625,821.1016210145322,8,14009.726870253406,15382.643138157844
13.47,13351.286199913126,735.7498886165788,8,12736.183899942936,13966.388499883315
13.72,12159.754987079375,660.5283634614615,8,11607.53945589576,12711.970518262991
13.97,11109.434154286875,601.5467682721355,8,10606.52847067263,11612.33983790112
14.22,10175.67423704,547.2830254612105,8,9718.134177701622,10633.214296378379
14.47,9343.612738049374,498.3972178219488,8,8926.942236668185,9760.283239430564
14.72,8597.34942854125,456.4569143442826,8,8215.741898326889,8978.956958755613
14.97,7928.787868436875,412.22922850885897,8,7584.155608896194,8273.420127977557
15.22,7331.619170605625,380.7721607166954,8,7013.285677872317,7649.952663338933
15.47,6792.92595106,356.448244725375,8,6494.9277609914,7090.924141128601
15.72,6304.066016171875,324.67804963505074,8,6032.6283738830425,6575.503658460708
15.97,5858.57394344625,299.7696327237984,8,5607.9602588199,6109.1876280726
16.22,5458.17199305,272.9959333319152,8,5229.94168126469,5686.402304835311
16.47,5091.463441345625,255.13758083262036,8,4878.1630858755625,5304.763796815688
16.72,4760.3292710450005,232.61908607870436,8,4565.854848312821,4954.80369377718
16.97,4454.13919288625,221.50970449265517,8,4268.952445586376,4639.325940186125
17.22,4176.834995953125,206.1107483581668,8,4004.522098152941,4349.147893753309
17.47,3922.52293240875,192.52973378554572,8,3761.5640469282353,4083.4818178892647
17.72,3684.1427446899997,177.6421798884804,8,3535.6301657393215,3832.655323640678
17.97,3471.79760548375,172.1443221768376,8,3327.8813506041483,3615.7138603633516
18.22,3268.64461841125,154.330395071896,8,3139.621179287766,3397.668057534734
18.47,3090.2591955512503,147.6421956367763,8,2966.827231083558,3213.6911600189424
18.72,2916.7653629700003,136.29999908506528,8,2802.815712116775,3030.7150138232255
18.97,2759.27301434,125.9351006293327,8,2653.9886354463347,2864.557393233665
19.22,2615.1972923213752,124.11512640166436,8,2511.434449958868,2718.9601346838826
19.47,2471.0091681744375,112.32019003647757,8,2377.1071393825173,2564.9111969663577
19.72,2350.36665416625,107.97860113355482,8,2260.0942845302884,2440.639023802212
19.97,2231.9516883399374,106.5701170354866,8,2142.8568408777437,2321.046535802131
20.22,2119.5728015055624,98.19173994204642,8,2037.4824525827878,2201.663150428337
20.47,2017.8853546344374,96.34757030239588,8,1937.336770113445,2098.43393915543
20.72,1921.229778421625,86.93811098476793,8,1848.5476987513932,1993.9118580918569
20.97,1830.0710551243126,84.69025451530615,8,1759.2682304913715,1900.8738797572537
21.22,1746.337201717125,79.30145977893615,8,1680.0395222261573,1812.6348812080928
21.47,1670.0042530101875,76.21333260858539,8,1606.2883124422863,1733.7201935780888
21.72,1596.392768926,69.3447417697954,8,1538.4191140014411,1654.3664238505587
21.97,1524.66893125875,72.43867202745754,8,1464.1086859087227,1585.2291766087774
22.22,1457.307597373125,64.73580345620871,8,1403.1871113052255,1511.4280834410245
22.47,1394.697192533,62.720855868845725,8,1342.2612448041232,1447.1331402618766
22.72,1337.3077782088126,58.59617144661763,8,1288.3201529520388,1386.2954034655863
22.97,1279.3097469305,57.048250662905716,8,1231.6162158339348,1327.0032780270653
23.22,1226.5565986729375,51.513871222949604,8,1183.489924576413,1269.6232727694621
23.47,1179.361952429875,55.168930950203496,8,1133.2395719315598,1225.48433292819
23.72,1131.283769461,51.899433007876155,8,1087.894757645696,1174.672781276304
23.97,1086.3371594689374,47.99863020171796,8,1046.2093004107335,1126.4650185271414
24.22,1043.520561958,46.00707445231914,8,1005.0576851728854,1081.9834387431144
24.47,1006.25957453175,43.50888030652114,8,969.8852403188154,1042.6339087446845
24.72,963.085869679375,42.56516771857203,8,927.5004989339712,998.6712404247788
24.97,927.120871703,45.785422826823634,8,888.8433003141129,965.3984430918872
25.22,892.363287107125,41.169394192702995,8,857.9448122312045,926.7817619830454
25.47,859.74874405325,36.122462129923925,8,829.5496099718566,889.9478781346434
25.72,830.3452196381875,38.06211765363477,8,798.5244929582173,862.1659463181577
25.97,802.8590988781875,37.302401805668616,8,771.6735105416107,834.0446872147644
26.22,769.3910615973125,31.50328433642723,8,743.0536567920097,795.7284664026153
26.47,746.1690588273125,31.06987680752477,8,720.193991783764,772.144125870861
26.72,720.445701209,32.757706218293684,8,693.0595734659069,747.8318289520932
26.97,691.87887375325,28.90573592371033,8,667.7130737659246,716.0446737405754
27.22,669.8441062651875,27.308349877353272,8,647.0137544325361,692.674458097839
27.47,649.9677329391875,30.06726892559414,8,624.8308670611239,675.1045988172511
27.72,624.4237624536876,29.209840693825708,8,600.0037245161784,648.8438003911967
27.97,602.53753993975,29.73380623891044,8,577.6794558443369,627.3956240351631
28.22,585.660041846125,25.846933331617855,8,564.0514648209241,607.2686188713258
28.47,564.914445017625,24.93079888683266,8,544.0717755552902,585.7571144799598
28.72,543.5312911216876,21.122727202646153,8,525.8722492583984,561.1903329849767
28.97,528.5015070375,25.688750004033732,8,507.02517458361245,549.9778394913875
29.22,509.3411437749375,24.553004643267585,8,488.81431820429435,529.8679693455806
29.47,494.304007059725,23.135615402647616,8,474.962148548333,513.645865571117
29.72,477.986385037225,21.121981755005276,8,460.32796638375953,495.6448036906904
29.97,463.875811230875,23.003312909748203,8,444.6445603715307,483.1070620902193
30.22,452.07627053049373,21.236867121496076,8,434.32180530705284,469.8307357539346
30.47,435.7975212114875,17.762986135077234,8,420.94729317194447,450.6477492510305
30.72,420.2899080823375,21.202656436270082,8,402.56404370748885,438.01577245718613
30.97,408.27143375433127,21.11271537219794,8,390.62076199076057,425.92210551790197
31.22,396.29708644469997,19.91553306160926,8,379.6472841397864,412.94688874961355
31.47,386.58257862640625,20.07857978269027,8,369.7964658514658,403.36869140134667
31.72,371.22419873131247,18.4189862623025,8,355.82554086081734,386.6228566018076
31.97,364.7499269457125,17.0794908192849,8,350.47111529000773,379.0287386014173
32.22,347.8186961298,16.31839456271949,8,334.17617686795796,361.46121539164204
