z,F_mean,F_std,F_count,CI_lower,CI_upper
-9.75,0.0,0.0,4,0.0,0.0
-9.25,0.0,0.0,4,0.0,0.0
-8.75,0.0,0.0,4,0.0,0.0
-8.25,0.0,0.0,4,0.0,0.0
-7.75,0.0,0.0,4,0.0,0.0
-7.25,0.0,0.0,4,0.0,0.0
-6.75,0.0,0.0,4,0.0,0.0
-6.25,0.0,0.0,4,0.0,0.0
-5.75,0.0,0.0,4,0.0,0.0
-5.25,0.0,0.0,4,0.0,0.0
-4.75,0.0,0.0,4,0.0,0.0
-4.25,0.0,0.0,4,0.0,0.0
-3.75,0.0,0.0,4,0.0,0.0
-3.25,0.0,0.0,4,0.0,0.0
-2.75,0.0,0.0,4,0.0,0.0
-2.25,0.0,0.0,4,0.0,0.0
-1.75,0.0,0.0,4,0.0,0.0
-1.25,0.0,0.0,4,0.0,0.0
-0.75,0.0,0.0,4,0.0,0.0
-0.25,0.0,0.0,4,0.0,0.0
0.25,0.0,0.0,4,0.0,0.0
0.75,0.34510795891487445,0.0002804142022819096,4,0.3446617573438738,0.3455541604858751
1.25,0.28410344904264295,0.0033981162135931003,4,0.278696287848205,0.2895106102370809
1.75,0.45947849962258935,0.005152867218618295,4,0.4512791380018333,0.4676778612433454
2.25,0.41999457416693503,0.003501208303988838,4,0.4144233704514051,0.42556577788246497
2.75,0.4373822617133876,0.0039531350796187525,4,0.43109194164917647,0.4436725817775988
3.25,0.4325445583234471,0.004341758546313897,4,0.42563585160137063,0.4394532650455236
3.75,0.4281422851394663,0.005187295690352612,4,0.41988814013737646,0.4363964301415561
4.25,0.4262455806829984,0.0032787105469557626,4,0.42102842054987044,0.43146274081612634
4.75,0.42559981554704146,0.0050287381662955785,4,0.4175979709482568,0.43360166014582613
5.25,0.42187282819094696,0.0032034258388876197,4,0.41677546282833694,0.426970193553557
5.75,0.4199871939939527,0.0025084012650194516,4,0.4159957678249369,0.42397862016296844
6.25,0.4178100429641549,0.005105805078448101,4,0.4096855677104505,0.4259345182178593
6.75,0.41520115181488876,0.005618226666788682,4,0.40626129946590317,0.42414100416387435
7.25,0.41056640318196336,0.00649216441138596,4,0.40023592085980675,0.42089688550411997
7.75,0.4073966188860375,0.00560749894746134,4,0.39847383673242065,0.41631940103965437
8.25,0.4041382725143232,0.007881637760303845,4,0.3915968280293893,0.41667971699925715
8.75,0.4006068597422614,0.007814014094348181,4,0.3881730196002626,0.4130406998842602
9.25,0.39830793585825464,0.008718713674786124,4,0.3844345167976774,0.4121813549188319
9.75,0.392234053493768,0.007958756097037388,4,0.3795698965259304,0.4048982104616056
10.25,0.39067683699448885,0.006828187733016219,4,0.37981166658312643,0.4015420074058513
10.75,0.3860900594859489,0.004792612206860236,4,0.37846394398075756,0.3937161749911402
11.25,0.3819866833077538,0.005530862351790343,4,0.3731858470795083,0.39078751953599933
11.75,0.3782744562976241,0.006466844026450569,4,0.36798426435821047,0.3885646482370377
12.25,0.3739939559678522,0.005527329137415369,4,0.36519874187212337,0.382789170063581
12.75,0.37306036408558296,0.007029815247858208,4,0.3618743593043943,0.3842463688667716
13.25,0.3675215442623178,0.002003980848548953,4,0.3643327635386553,0.37071032498598033
13.75,0.36648832004478665,0.007819569866779999,4,0.3540456394290636,0.3789310006605097
14.25,0.3618461912388789,0.0057337484870551075,4,0.35272251789485004,0.37096986458290776
14.75,0.35934800268434824,0.004461573486990905,4,0.35224864365463404,0.36644736171406245
15.25,0.35473170448387875,0.0057661573789000034,4,0.3455564613607948,0.3639069476069627
15.75,0.3542261626345867,0.0056289968363326,4,0.345269172542465,0.3631831527267085
16.25,0.3495914140016613,0.007385686372240018,4,0.33783913884799954,0.3613436891553231
16.75,0.34629247667854407,0.006701522177853792,4,0.3356288594311984,0.35695609392588973
17.25,0.3451854507311892,0.005974592285009744,4,0.33567854115968465,0.3546923603026938
17.75,0.34162082718070685,0.00515656018805488,4,0.3334155892214813,0.3498260651399324
18.25,0.33960603995652117,0.005693145356424271,4,0.3305469752540218,0.3486651046590205
18.75,0.3360783172709505,0.005772320729441195,4,0.32689326688178755,0.34526336766011345
19.25,0.3325210738934504,0.007287825219749577,4,0.32092451767137564,0.3441176301155252
19.75,0.33100444834557435,0.006895513538278945,4,0.32003214755410764,0.34197674913704107
20.25,0.32819998261227556,0.0044309954630474225,4,0.32114928004222226,0.33525068518232887
20.75,0.3255357401656417,0.0074099423711695206,4,0.3137448683048928,0.3373266120263906
21.25,0.3216500790904263,0.005858035258788777,4,0.3123286377576477,0.33097152042320493
21.75,0.3185540965243241,0.007020427452363539,4,0.30738302982067883,0.32972516322796935
22.25,0.3161739907375113,0.007196134161352448,4,0.30472333545044833,0.32762464602457425
22.75,0.312066924472825,0.007048868857041853,4,0.30085060114756196,0.3232832477980881
23.25,0.30616647617342396,0.005111734627968366,4,0.29803256568323816,0.31430038666360977
23.75,0.3046166398471273,0.008989696989854756,4,0.2903120258616331,0.31892125383262143
24.25,0.3010188055182242,0.007254099381102221,4,0.2894759146314474,0.312561696405001
24.75,0.2971442147024824,0.00727542204006002,4,0.2855673947070961,0.30872103469786877
25.25,0.29264968935622193,0.0057116547343584794,4,0.2835611721030127,0.3017382066094312
25.75,0.28912934684363367,0.006591420029060183,4,0.27864092668460405,0.2996177670026633
